Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
2/01/2008,342.92664,-3.14801,-0.909633225,346.77032,349.02252,339.19305,343.36154,1.728793585,8134501.965,82.17638972,77.51009785,11122223.17,10149683.98,8599720
3/01/2008,342.9967,0.07006,0.020430026,342.96167,343.75742,338.58743,340.86038,1.728793585,8134501.965,64.02073218,58.4226903,11139533,9998158.85,6497902
4/01/2008,328.818,-14.1787,-4.133771549,340.17395,340.8096,327.81702,334.46625,1.728793585,8134501.965,107.0631919,96.09332818,11206855.54,9704559.05,10704348
7/01/2008,324.93924,-3.87876,-1.179606956,327.2865,331.46054,318.98346,324.55508,1.728793585,8134501.965,131.8318528,114.159587,11276365.34,9663887.35,12793700
8/01/2008,316.14566,-8.79358,-2.706222862,326.81604,330.29944,315.8054,324.14804,1.728793585,8134501.965,110.1571512,94.40509131,11338101.09,9836315.103,10645463
9/01/2008,326.91614,10.77048,3.40680938,315.32492,326.98624,311.5563,318.85394,1.728793585,8134501.965,136.8966108,118.7639966,11428953.73,9833113.67,13465582
10/01/2008,323.678,-3.23814,-0.9905109,322.81717,328.9181,320.3648,324.2121,1.728793585,8134501.965,128.7037496,110.7326733,11503468.54,9661964.403,12655586
11/01/2008,319.4339,-4.2441,-1.311210524,321.66107,325.04932,315.35995,320.46945,1.728793585,8134501.965,102.8794103,86.41021588,11531931.02,9467013.437,9940172
14/01/2008,327.22644,7.79254,2.43948435,325.88516,329.0182,322.9373,325.6125,1.728793585,8134501.965,93.83222132,77.03054231,11557121.98,9349942.003,8883109
15/01/2008,319.13364,-8.0928,-2.473149786,323.26263,324.83914,317.99753,321.3381,1.649190372,7759944.529,118.8820315,96.17793268,11600129.58,9194801.603,11115401
16/01/2008,308.27313,-10.86051,-3.403122905,314.7894,320.30475,301.25632,311.1728,1.649190372,7759944.529,229.4648314,181.8844855,11753253.73,9610340.403,21098836
17/01/2008,300.68576,-7.58737,-2.461249218,310.68045,313.17285,299.29443,305.475,1.649190372,7759944.529,170.4306124,139.3568316,11863627.85,9874461.37,16378962
18/01/2008,300.41553,-0.27023,-0.089871233,304.47443,305.29022,299.51465,302.33386,1.649190372,7759944.529,172.2181126,143.3424178,11992558.92,10161233.44,17005611
22/01/2008,292.4578,-7.95773,-2.648907665,281.28702,299.03918,280.8716,292.44202,1.649190372,7759944.529,186.4632194,157.989326,12136859.14,10465910.37,18946963
23/01/2008,274.57556,-17.88224,-6.114468481,280.6264,284.2749,259.7512,272.7644,1.649190372,7759944.529,323.4941711,278.9569329,12471069.66,11338583.32,33856610
24/01/2008,287.52304,12.94748,4.715452461,279.67044,290.12558,277.3382,283.976,1.649190372,7759944.529,165.5653397,150.5305039,12618364.96,11707589.79,18772764
25/01/2008,283.47415,-4.04889,-1.408196714,296.19144,297.78796,283.364,290.0292,1.649190372,7759944.529,118.6169592,110.0553601,12723888.24,11762129.52,13887187
28/01/2008,278.25906,-5.21509,-1.839705666,285.76132,286.39645,274.5655,279.09158,1.649190372,7759944.529,98.60781568,91.15436086,12759255.05,11738712.46,11598379
29/01/2008,275.52646,-2.7326,-0.982034511,280.50626,280.93668,270.59668,274.79913,1.649190372,7759944.529,106.8416153,98.29594245,12775912.19,11811762.16,12541830
30/01/2008,274.40036,-1.1261,-0.408708478,274.8608,280.48624,272.01807,275.33627,1.649190372,7759944.529,134.1299612,124.0076776,12829297.09,12095314.34,15843112
31/01/2008,282.4231,8.02274,2.923735231,269.76587,286.7773,267.40366,276.13727,1.812822407,8529883.244,240.7141987,226.9425892,12974996.55,12700459.44,29115139
