Date,Price,Change,% Change,Open,High,Low,VWAP,Short Interest % of Total,Short Interest,Volume % of 30-Day Average,Volume % of 90-Day Average,Volume 90-Day MAVG,Volume 30-Day MAVG,CVol
13/05/2004,43.61,0.59,1.371455137,42.46,44.13,42.25,43.53,8.72063137,35320650,108.5152848,95.95887649,8597954,7752817,8282505
14/05/2004,43.05,-0.56,-1.284109149,43.65,43.92,42.76,43.26,7.959717449,32238766,66.16466966,59.66100742,8588442,7706858,5129626
17/05/2004,42.08,-0.97,-2.253193961,42.24,42.59,41.7,42.01,7.959717449,32238766,86.00331588,77.17526239,8559406,7656194,6628153
18/05/2004,41.99,-0.09,-0.213878327,42.24,42.4,41.83,42.04,7.959717449,32238766,73.20082148,65.47647013,8507008,7645037,5604397
19/05/2004,41.69,-0.3,-0.714455823,42.377,43.27,41.47,42.95,7.959717449,32238766,96.52430132,86.74400328,8447009,7693807,7379319
20/05/2004,40.98,-0.71,-1.703046294,41.65,41.97,40.8,41.2,7.959717449,32238766,77.0264411,70.15815913,8407847,7739641,5926266
21/05/2004,41.17,0.19,0.4636408,41.18,41.48,40.55,40.94,7.959717449,32238766,68.13593633,62.72089641,8305083,7619434,5273477
24/05/2004,41.63,0.46,1.117318436,41.24,42.3,41.17,41.68,7.959717449,32238766,66.64984419,61.14738195,8238381,7643851,5078341
25/05/2004,43.62,1.99,4.780206582,41.75,43.86,41.39,42.67,7.959717449,32238766,94.48693791,87.66820728,8182883,7693789,7222441
26/05/2004,44.69,1.07,2.45300321,43.69,45,43.67,44.56,7.959717449,32238766,96.43681667,90.67274723,8164056,7736090,7419645
27/05/2004,47.62,2.93,6.556276572,45.26,47.83,44.85,46.24,7.959717449,32238766,183.2345468,173.629265,8235448,8021822,14175190
28/05/2004,48.5,0.88,1.847963041,47.27,48.68,46.88,47.84,7.959717449,32238766,132.4553266,129.0194491,8278117,8096217,10625330
1/06/2004,50.23,1.73,3.567010309,47.88,50.45,47.7,49.37,7.959717449,32238766,159.8511963,156.3386973,8303329,8349200,12941900
2/06/2004,50.35,0.12,0.238901055,50.35,51.21,49.77,50.4,7.959717449,32238766,149.3974201,150.2227653,8374823,8452448,12473490
3/06/2004,49.4,-0.95,-1.886792453,49.88,50.35,49.32,49.89,7.959717449,32238766,98.7384266,99.65361392,8405710,8528628,8345814
4/06/2004,50.95,1.55,3.137651822,50.21,51.51,50,50.97,7.959717449,32238766,147.5682859,149.7261931,8400455,8421389,12585550
7/06/2004,51.76,0.81,1.589793916,51.59,51.99,50.65,51.39,7.959717449,32238766,91.56041945,91.78858461,8246335,8191614,7710659
8/06/2004,51.94,0.18,0.347758887,51.4,52.12,51.1,51.58,7.959717449,32238766,73.16255202,72.67706258,8063082,8147582,5993194
9/06/2004,50.24,-1.7,-3.273007316,51.6,51.83,50.01,51.52,7.959717449,32238766,80.75243938,81.59871149,8009427,8067034,6579371
10/06/2004,49.94,-0.3,-0.597133758,50.36,50.47,49.26,49.63,7.959717449,32238766,89.36338246,90.00611916,7960715,8102943,7208974
14/06/2004,49.25,-0.69,-1.38165799,49.45,49.99,49.04,49.33,7.959717449,32238766,63.9377782,65.08010965,7710802,7974320,5180842
15/06/2004,50.11,0.86,1.746192893,49.74,50.6,49.49,50.23,7.639318164,30941072,86.68379994,89.64623461,7547581,7876388,6912444
16/06/2004,50.57,0.46,0.917980443,50.11,50.75,49.91,50.4,7.639318164,30941072,52.0232143,54.28957815,7446581,7782195,4097550
17/06/2004,49.77,-0.8,-1.581965592,50.49,50.91,49.41,49.93,7.639318164,30941072,75.50266188,78.90552383,7439557,7734969,5875764
18/06/2004,49.6,-0.17,-0.341571228,49.7,50.28,49.4,49.87,7.639318164,30941072,57.2386109,59.51146389,7420436,7719493,4427389
21/06/2004,49.77,0.17,0.342741935,49.59,50.3,49.25,49.9,7.639318164,30941072,58.16738425,60.51163011,7415339,7608376,4490227
22/06/2004,49,-0.77,-1.547116737,49.63,49.79,48.24,48.77,7.639318164,30941072,106.7309479,109.5093794,7417993,7569437,8120492
23/06/2004,50.81,1.81,3.693877551,48.78,51,48.35,49.99,7.639318164,30941072,100.3350795,102.3834976,7427295,7478859,7594801
24/06/2004,51.02,0.21,0.413304468,51,51.94,50.69,51.28,7.639318164,30941072,90.39779515,91.02538663,7442063,7451033,6760724
